DISPLAY_CALL_NO,PubDate,PlaceCode,Age,Region,Brittle
F2803 .T67 no. 4,1947,ag,72,South America,1
F2804.5 .A63,1949,ag,70,South America,1
F2804.5 .A63,1957,ag,62,South America,1
F2804.5 .A63,1950,ag,69,South America,1
F2804.5 .A63,1952,ag,67,South America,1
F2810 .F4,1958,ag,61,South America,0
F2810 .S48,1949,ag,70,South America,1
F2815 .C63,1911,enk,103,Europe,0
F2815 .D4 1947,1947,nyu,72,North America,0
F2815 .R95 1947,1947,sp,67,Europe,0
F2816 .C58,1970,ag,49,South America,0
F2816 .H45,1953,be,61,Europe,0
F2821 .C59 1999,2001,ag,18,South America,0
F2821.1.H9 O77 1997,1997,ag,22,South America,0
F2821.1.J9 B45 1995,1995,ag,24,South America,0
F2831 .G189,1943,ag,76,South America,1
F2841 .O48,1922,ag,97,South America,1
F2843.G35 Y3,1944,ag,75,South America,1
F2845 .C77,1960,ag,40,South America,0
F2845 .M725,1900,xx,119,No place,1
F2845.B378 D6 1982,1982,ag,32,South America,0
F2846 .E45 1998,1999,ag,20,South America,0
F2846 .I682,1944,ag,75,South America,1
F2846 .M68,1911,xx,108,No place,1
F2846 .R7155,1942,ag,77,South America,1
F2846 .R7156 2009,2009,ag,10,South America,0
F2846 .S197,1945,uy,74,South America,1
F2846 .S248485 1988,1988,ag,26,South America,0
F2846 .S252156,1954,ag,65,South America,0
F2846.3.R7 T47,1972,ag,42,South America,0
F2846.F79 T47 2000,2000,ag,4,South America,0
F2846.P44 C5,1962,xx,38,No place,0
F2848 .M295,1976,ag,24,South America,0
F2848 .T618 1973,1973,ag,46,South America,1
F2849 .E82,1974,xx,45,No place,0
F2849 .M65,1964,ag,55,South America,0
F2849 .P8 1968,1968,ag,46,South America,0
F2849.2 .C54 1990,1990,ag,29,South America,0
F2849.2 .C6,1966,ag,53,South America,0
F2849.2 .H32 1986,1986,ag,28,South America,0
F2849.2 .H818,1978,ag,26,South America,0
F2849.2 .J8 1983,1983,pau,36,North America,0
F2849.2 .T87 1996,1996,ag,23,South America,0
F2849.22.G85 S8 2008,2008,cu,11,West Indies,0
F2849.3 .L83,2004,ag,15,South America,0
F2849.P48 E85 1996,1996,ag,23,South America,0
F2851 .C56,1906,cl,113,South America,1
F2851 .E7,1968,cl,32,South America,0
F2886 .P74 1999,1999,ag,20,South America,0
F2891 .M28 2009,2009,ag,10,South America,0
F2896 .R43,1966,ag,38,South America,0
F2951 .H57,1975,xx,25,No place,0
F2958 .P47 1999,1999,ag,20,South America,0
F2981 .L8,1948,xx,71,No place,1
F2991 .C88 no. 1,1969,ag,45,South America,0
F2991 .R68 1988,1988,ag,12,South America,0
F3001 .B923,1907,ag,107,South America,0
F3001 .C28,1926,ag,93,South America,1
F3001 .M9,1946,ag,73,South America,0
F3001 .Z24,1936,ag,83,South America,1
F3011.M63 S56 1985,1985,ag,29,South America,0
F3011.Q6 C6,1955,ag,64,South America,0
F3011.S19 M3,1970,ag,44,South America,0
F3011.S49 M57 1983,1983,cl,36,South America,0
F3011.T89 F47 1993,1993,sp,21,Europe,0
F3021.J5 C625 1975,1985,ag,34,South America,0
F3021.U5 V37 1982,1982,gw,32,Europe,0
F3031 .P475 1999,1999,no,20,Europe,0
F3051 .C69,1861,cl,158,South America,1
F3051 .N83,1972,cl,47,South America,0
F3058 .U36 1943,1943,dcu,76,North America,1
F3059 .M13,1916,dcu,103,North America,1
F3060 .L36,1967,mx,33,North America,0
F3060 .R664 1995,1995,cl,5,South America,0
F3063 .P35,1943,dcu,76,North America,0
F3063 .S33 1990,1990,cl,10,South America,0
F3069 .C59 1971,1971,cl,29,South America,0
F3069.3.G6 I54 1999,1999,cl,20,South America,0
F3091.T6 A4,1943,cl,76,South America,1
F3094 .C69,1912,cl,107,South America,1
F3094 .C69 vol. 25,1913,cl,106,South America,1
F3094.O33 P47 1980,1980,ve,20,South America,0
F3094.W3 L6,1930,xx,84,No place,0
F3095 .B25,1940,xx,74,No place,0
F3097 .H56,1978,bo,22,South America,0
F3097.3 .M23,1919,xx,100,No place,1
F3097.3 .P53,1919,cl,100,South America,0
F3098 .B2615 1991,1991,cl,9,South America,0
F3099 .B43 1984,1984,cl,16,South America,0
F3100 .A38 1993,1993,cl,7,South America,0
F3100 .C445,1974,it,40,Europe,0
F3100 .M55,1975,it,39,Europe,0
F3100 .P83,1974,gw,26,Europe,0
F3100 .R33 1999,1999,cl,15,South America,0
F3100.A462 S24,1974,ag,45,South America,0
F3101.3 .C49 2011,2011,cl,8,South America,0
F3126 .F29,1968,nyu,51,North America,0
F3126 .R96 1993,1993,cl,21,South America,0
F3139 .A514 2011,2011,bo,8,South America,0
F3146 .T36,1972,cl,28,South America,0
F3171 .V64 1974,1974,cl,26,South America,0
F3246 .T81,1861,cl,158,South America,1
F3271.23.A2 P35 1995,1995,cl,24,South America,0
F3281.A6 P5,1880,pe,139,South America,1
F3285.A7 M3,1941,cl,78,South America,0
F3301 .B57,1906,bo,113,South America,0
F3319.1.T55 B39,1959,enk,41,Europe,0
F3320 .P67 1938,1938,bo,81,South America,1
F3320.1.P56 K66 2006,2006,bo,13,South America,0
F3320.2.C4 N33 2001,2001,bo,13,South America,0
F3321 .A48,1979,bo,35,South America,0
F3321 .A7,1918,bo,101,South America,1
F3323 .F84 1996,1996,ve,18,South America,0
F3325 .O8,1944,cl,75,South America,1
F3325.T44 M46 1993,1993,bo,7,South America,0
F3326 .S68 1994,1994,bo,6,South America,0
F3326.P3 G89 1986,1986,bo,14,South America,0
F3327 .D39,1991,bo,23,South America,0
F3327 .E78 1996,1996,bo,23,South America,0
F3327 .T685 2010,2010,bo,9,South America,0
F3341.O6 V348 2007,2007,bo,12,South America,0
F3351.T3 B56 1976,1976,bo,38,South America,0
F3359.A1 D57 2007,2007,bo,12,South America,0
F3401 .C35,1950,pe,69,South America,0
F3401 .R453,1936,pe,83,South America,1
F3402 .R42,1974,pe,40,South America,0
F3405 .G25,1990,dcu,29,North America,0
F3408 .R152,1940,pe,79,South America,1
F3410.4 .C74 2005,2005,nyu,14,North America,0
F3423 .P48,1903,pe,116,South America,1
F3424 .W35,1978,nyu,22,North America,0
F3429 .A554,1983,pe,36,South America,0
F3429 .A77 no. 5,1959,pe,55,South America,0
F3429 .C55,1971,ne,43,Europe,0
F3429 .C65 1998,2001,pe,18,South America,0
F3429 .C67 2001,2001,it,18,Europe,0
F3429 .N86 1986,1986,cu,33,West Indies,0
F3429.1.L8 B6,1965,pe,49,South America,0
F3429.1.M35 S53 2000,2000,pe,19,South America,0
F3429.1.P25 P373 2009,2009,pe,10,South America,0
F3429.1.T8 Z48 1994,1994,pe,20,South America,0
F3429.3.M4 C37 1981,1981,xx,33,No place,0
F3430.1.M6 C84 1980,1980,sp,39,Europe,0
F3431 .H33 1997,1997,pe,17,South America,0
F3431 .V265 1984,1900,pe,119,South America,0
F3444 .G22,1912,ck,102,South America,0
F3446 .M64,1828,enk,186,Europe,0
F3447 .M29,1919,pe,100,South America,1
F3447 .M29 1942,1942,pe,72,South America,0
F3448 .C37,1971,xx,43,No place,0
F3448 .M216 1953,1953,ag,66,South America,0
F3448 .S276 1984,1984,pe,30,South America,0
F3448.2 .B334,1979,pe,21,South America,0
F3448.2 .Q44,1979,pe,40,South America,0
F3448.6 .G37 2011,2011,pe,8,South America,0
F3451.B75 J9,1910,ec,109,South America,0
F3451.B75 R33 1995,1995,pe,5,South America,0
F3601 .L733,1935,pe,84,South America,0
F3611.A7 M26,1936,pe,83,South America,1
F3611.E46 M37,1973,pe,46,South America,1
F3611.H79 R66 2006,2006,pe,13,South America,0
F3611.T8 A7,1935,pe,84,South America,1
F3708.5 .L47 1986,1986,ilu,33,North America,0
F3721.1.Q54 P67,1975,ec,25,South America,0
F3722 .K54,1983,ec,36,South America,0
F3731 .U94,1937,ec,82,South America,1
F3732.9 .B87 1985,1985,ec,34,South America,0
F3733 .J35 Copy 2,1954,ec,65,South America,1
F3735 .C46,1947,ec,67,South America,0
F3738.4 .D87 1996,1996,ec,23,South America,0
F3738.4.M34 S23 2000,2000,ec,14,South America,0
F3741.L6 P3,1940,ec,79,South America,1
F3741.P32 C88 1996,1996,ec,23,South America,0
F3791.C9 V3,1957,ec,62,South America,1
F3791.G9 G35 1928,1928,ec,91,South America,0
