VK381 .P65,1966,enk,0,,53,enk,Europe,0
VK397 .D64,1970,xx,0,,49,xx,No place,1
VK397 .I7 1938,1938,it,0,,81,it,Europe,0
VK397 .L494 1988,1988,it,1,,31,it,Europe,0
VK405 .J36 1977,1977,mdu,0,,42,mdu,North America,0
VK423 .A5 1939,1939,xx,0,,80,xx,No place,0
VK423 .A5 1942k,1942,dcu,1,,77,dcu,North America,0
VK555 .D5,1954,xx,1,,65,xx,No place,0
VK555 .S58,1938,it,0,,81,it,Europe,1
VK555 .T46,1981,nyu,1,,38,nyu,North America,0
VK559 .A7 1970,1970,sw,0,,49,sw,Europe,0
VK560 .B9,1961,xx,0,,58,xx,No place,1
VK563 .B7 1844,1844,nyu,0,,175,nyu,North America,1
VK563 .G69 1942,1942,xx,1,,77,xx,No place,0
VK572 .G3,1943,nyu,1,,76,nyu,North America,0
VK577 .M36,1974,xx,1,,45,xx,No place,0
VK583 .G4,1949,gw,0,,70,gw,Europe,1
VK587 .M57,1967,enk,0,,52,enk,Europe,0
VK591 .N4,1952,ne,0,,67,ne,Europe,0
VK594 .G43 1973,1973,gw,1,,46,gw,Europe,0
VK597 .U42,1900,dcu,1,,119,dcu,North America,0
VK823 .A33 1855,1855,fr,0,,164,fr,Europe,0
VK839 .H43 1991,1991,enk,1,,28,enk,Europe,0
VK906 .G72 1928,1928,enk,1,,91,enk,Europe,0
VK927 .A86a,1900,xna,1,,119,xna,Australasia,0
VK1010 .V43,1981,ne,0,,38,ne,Europe,0
VK1243 .U612,1937,dcu,1,,82,dcu,North America,0
VK1259 .U24 1985,1985,gw,1,,34,gw,Europe,0
VK1396.F5 S96 1972,1972,fi,0,,47,fi,Europe,0
VK1463 .G64 1988,1988,gw,0,,31,gw,Europe,0
VK1473 .U6 1908d,1908,dcu,0,,111,dcu,North America,1
VM4 .L463 vyp. 201,1975,xx,1,,44,xx,No place,0
VM4 .L463 vyp. 225 VK235,1977,ru,1,,42,ru,Europe,0
VM6.P5 A5,1964,pau,0,,55,pau,North America,0
VM15 .G7,1919,nyu,0,,100,nyu,North America,0
VM16 .M38 1983,1983,enk,0,,36,enk,Europe,0
VM18 .S25,1973,it,0,,46,it,Europe,0
VM23 .A85 1917a,1917,dcu,1,,102,dcu,North America,0
VM57 .A88 1974a,1974,enk,1,,45,enk,Europe,0
VM83 .I7,1963,sp,1,,56,sp,Europe,0
VM145 .W58 1894,1894,enk,1,,125,enk,Europe,0
VM149 .S465,1959,xx,1,,60,xx,No place,0
VM149 .V44,1969,xx,1,,50,xx,No place,0
VM149 .Z35 1971,1971,xx,1,,48,xx,No place,0
VM156 .S35,1969,ne,1,,50,ne,Europe,0
VM159 .E33 1982,1982,nyu,1,,37,nyu,North America,0
VM159 .L82,1971,ru,1,,48,ru,Europe,0
VM159 .M3,1973,xx,1,,46,xx,No place,0
VM163 .S53,1966,xx,1,,53,xx,No place,0
VM298.5 .S55 1983,1983,enk,0,,36,enk,Europe,0
VM299 .N4,1928,vau,1,,91,vau,North America,0
VM299.6 .N38 1996,1996,dcu,0,,23,dcu,North America,0
VM301.E53 A5,1958,sp,0,,61,sp,Europe,0
VM307 .G6,1938,xx,0,,81,xx,No place,0
VM315 .S95,1959,xx,1,,60,xx,No place,0
VM321 .A7,1959,xx,1,,60,xx,No place,0
VM331 .W3,1947,xx,1,,72,xx,No place,0
VM331 .W5,1931,nju,1,,88,nju,North America,0
VM342 .A3,1952,xx,1,,67,xx,No place,0
VM348 .C59 1996,1996,ksu,0,,23,ksu,North America,0
VM348 .V4,1958,ilu,1,,61,ilu,North America,0
VM361 .A2,1889,xx,1,,130,xx,No place,0
VM425 .D86 1984,1984,nyu,0,,35,nyu,North America,0
VM461 .M39,1971,enk,0,,48,enk,Europe,0
VM464 .P57,1976,nyu,0,,43,nyu,North America,0
VM471 .C48,1966,xx,0,,53,xx,No place,1
VM480 .B25,1957,xx,1,,62,xx,No place,0
VM600 .B95,1872,enk,1,,147,enk,Europe,0
VM600 .L67,1968,xx,0,,51,xx,No place,1
VM600 .U6 1940,1940,xx,1,,79,xx,No place,0
VM605 .T45,1968,xx,0,,51,xx,No place,1
VM725 .P3 1954,1954,xx,1,,65,xx,No place,0
VM731 .I88,1964,xx,1,,55,xx,No place,0
VM731 .M5,1933,it,0,,86,it,Europe,0
VM731 .U48 1954,1954,dcu,1,,65,dcu,North America,0
VM740 .T66 1985,1985,ru,1,,34,ru,Europe,0
VM741 .D44,1978,ru,0,,41,ru,Europe,1
VM763 .S9,1966,xx,0,,53,xx,No place,1
VM771 .C58 1975,1975,cau,0,,44,cau,North America,0
VM773 .R8,1962,xx,0,,57,xx,No place,1
VM981 .F725,1957,nyu,1,,62,nyu,North America,0
VM981 .T82,1980,mdu,1,,39,mdu,North America,0
VM981 .Z65,1938,nyu,1,,81,nyu,North America,0
UA646 .L26 1983,1983,gw,1,,36,gw,Europe,0
UA646 .S588,1978,no,1,,41,no,Europe,0
UA646.3 .B326 1989,1989,gw,1,,30,gw,Europe,0
UA646.3 .N228 1984,1984,gw,1,,35,gw,Europe,0
UA646.5.U5 S53 1985,1985,ru,1,,34,ru,Europe,0
UA647 .L63 1960,1960,wlk,1,,59,wlk,Europe,0
UA652.B6 S26 1978,1978,enk,1,,41,enk,Europe,0
UA657.5.E3 L4,1898,stk,1,,121,stk,Europe,0
UA657.5.S63 F44,1895,enk,1,,124,enk,Europe,0
UA700 .G28 1971,1971,fr,1,,48,fr,Europe,0
UA705 .Z6 3d,1891,xx,1,,128,xx,No place,0
UA710 .D6 1939,1939,gw,1,,80,gw,Europe,0
UA710 .L382,1961,gw,0,,58,gw,Europe,1
UA710 .P5,1932,fr,0,,87,fr,Europe,1
UA758.V47 S64,1978,no,0,,41,no,Europe,0
UA770 .E33 1993,1993,ru,1,,26,ru,Europe,0
UA773.Z9 M637,1896,xx,0,,123,xx,No place,1
UA776.P6 M36,1972,xx,1,,47,xx,No place,0
UA790 .D26,1967,sw,0,,52,sw,Europe,0
UA797 .S94 1983,1983,sw,0,,36,sw,Europe,0
UA800 .J28,1955,sz,1,,64,sz,Europe,0
UA832 .K74 1996,1996,gw,1,,23,gw,Europe,0
UA869.T63 B34,1977,fr,0,,42,fr,Europe,0
UA870 .V85 1986,1986,at,1,,33,at,Australasia,0
UA874.3 .C53 1995,1995,nz,0,,24,nz,Australasia,0
UA926 .M49,1953,miu,1,,66,miu,North America,0
UA926 .Z57 1962,1962,gw,1,,57,gw,Europe,0
UA927 .A36 no. 1007-2,1943,dcu,1,,76,dcu,North America,0
UA927 .A488 1952,1952,dcu,0,,67,dcu,North America,0
UA927 .C15,,xx,1,,,xx,No place,0
UA928.N8 A34,,ncu,1,,,ncu,North America,0
UA929.A9 A33 1977,1977,au,1,,42,au,Europe,0
UA929.D4 D45c,1983,dk,1,,36,dk,Europe,0
UA929.N45 A46,1966,nz,1,,53,nz,Australasia,0
UA929.R9 K33 1972,1972,xx,1,,47,xx,No place,0
UA929.R9 K45,1952,xx,1,,67,xx,No place,0
UB147 .R35 1996,1996,fi,0,,23,fi,Europe,0
UB155.I4 L5 1939,1939,pk,1,,80,pk,Asia,0
UB225.S75 A5 1861,1861,cu,0,,158,cu,West Indies,1
U4 .F6,1900,sw,0,,119,sw,Europe,0
U21 .O5,1957,mx,1,,62,mx,North America,0
U21.2 .B68 1969,1969,fr,1,,50,fr,Europe,0
U22.3 .P712,1980,cou,1,,39,cou,North America,0
U24 .A49 1989,1989,sp,0,,30,sp,Europe,0
U25 .P3,1936,xx,0,,83,xx,No place,1
U25 .P39,1967,yu,1,,52,yu,Europe,0
U43.G3 D4,1940,gw,0,,79,gw,Europe,1
U55.C47 M37,1979,quc,1,,40,quc,North America,0
U102 .T3,1917,xx,0,,102,xx,No place,1
U104 .B8,1888,enk,0,,131,enk,Europe,1
U113 .M37,1900,txu,1,,119,txu,North America,0
U135.F8 A3,1916,fr,0,,103,fr,Europe,1
U162 .A3 no. 144-145 UF526,1978,enk,1,,41,enk,Europe,0
U162 .B5 1982,1982,ne,1,,37,ne,Europe,0
U163 .W3 1965,1965,gw,1,,54,gw,Europe,0
U164 .G5,1767,xx,0,,252,xx,No place,0
U167 .V88 1936,1936,gw,1,,83,gw,Europe,0
U205 .R59,1958,yu,1,,61,yu,Europe,0
U263 .V84 1985,1985,ci,1,,34,ci,Europe,0
U375.G4 B7,1966,gw,0,,53,gw,Europe,0
U395.G7 A56,1969,enk,1,,50,enk,Europe,0
U405 .G8,1940,enk,1,,79,enk,Europe,0
U408 .E3,1922,xx,0,,97,xx,No place,1
U408.3 .A13 TM 30-506,1944,dcu,1,,75,dcu,North America,0
U408.3 .A13 TM55-503,1966,dcu,1,,53,dcu,North America,0
U408.3 .A13 TM8-285,1956,dcu,0,,63,dcu,North America,0
U410.F5 D5,1834,dcu,0,,185,dcu,North America,0
U600 .K594,1979,ru,1,,40,ru,Europe,0
U614.S8 L7,1955,sw,1,,64,sw,Europe,0
U629 .S64,1938,xx,0,,81,xx,No place,1
U717.G3 K77 1981,1981,gw,1,,38,gw,Europe,0
U717.R9 A584,1960,xx,1,,59,xx,No place,0
U750 .S5,1964,ii,1,,55,ii,Asia,0
U773 .B4,1964,aa,1,,55,aa,Europe,0
U800 .D4 1993,1993,it,1,,26,it,Europe,0
U805 .D4,1806,enk,0,,213,enk,Europe,1
U860 .O915,1961,gw,0,,58,gw,Europe,0
U884 .A9 1986,1985,gw,0,,34,gw,Europe,0
UA10 .S57,1973,rm,1,,46,rm,Europe,0
UA21 .G36,1968,xx,1,,51,xx,No place,0
UA23 .K789 1987,1987,pl,1,,32,pl,Europe,0
UA26.A2 U553 1995,1995,dcu,1,,24,dcu,North America,0
UA42.A6 U5,1975,dcu,1,,44,dcu,North America,0
UA43.M5 M53 1984,1984,miu,1,,35,miu,North America,0
UA238.P6 S7,1859,oru,0,,160,oru,North America,1
UA600 .C29j,1994,onc,0,,25,onc,North America,0
UA600 .C2987 1990,1990,nsc,0,,29,nsc,North America,0
UA600 .H37 1987,1987,onc,1,,32,onc,North America,0
UA619 .P3818,1972,mx,1,,47,mx,North America,0
UA625 .R8,1944,ck,1,,75,ck,South America,0
UB251.C2 A32 no. 5/56,1956,onc,1,,63,onc,North America,0
UB271.B92 K675 1986,1986,fr,1,,33,fr,Europe,0
UB271.D42 E455 1989,1989,dk,1,,30,dk,Europe,0
UB323 .A4 1911,1911,dcu,0,,108,dcu,North America,1
UB342.S7 J55,1973,sp,1,,46,sp,Europe,0
UB343 .A5 1917d,1917,dcu,0,,102,dcu,North America,1
UB343 .A54 1918,1918,dcu,0,,101,dcu,North America,1
UB345.N2 D52 1990,1990,ne,0,,29,ne,Europe,0
UB350 .T36,1966,hu,1,,53,hu,Europe,0
UB357 .A553 1963b,1963,dcu,1,,56,dcu,North America,0
UB357 .B45 1987,1987,nju,1,,32,nju,North America,0
UB357 .E33 1973a,1973,dcu,1,,46,dcu,North America,0
UB357 .N5,1944,nyu,1,,75,nyu,North America,0
UB358.C2 A35,,xx,0,,,xx,No place,1
UB359.C2 A5 1929,1930,onc,1,,89,onc,North America,0
UB359.R9 C73,1960,xx,1,,59,xx,No place,0
