"Call Number","PLACE_CODE","BEGIN_PUB_DATE","Brittle","Age","Region"
"F1413 .C78 1998","enk",1998,"0",23,"Europe"
"F1414 .W5","nyu",1966,"0",55,"North America"
"F1414.2 .C623","cou",1980,"0",41,"North America"
"F1414.2 .D35 2013","ncu",2013,"0",8,"North America"
"F1414.2 .M413","nyu",1969,"0",52,"North America"
"F1414.2 .M54 1973","cau",1973,"0",48,"North America"
"F1414.2 .W49 1990","nyu",1990,"0",31,"North America"
"F1415 .G6","nju",1972,"0",49,"North America"
"F1415 .L38 1985","nyu",1985,"0",36,"North America"
"F1418 .A333","nyu",1968,"0",53,"North America"
"F1418 .B486 1966","nyu",1966,"0",55,"North America"
"F1418 .F68 1983","cou",1983,"0",38,"North America"
"F1418 .G4913 1987","ru",1987,"0",34,"Europe"
"F1418 .M3728 2006","dcu",2006,"0",15,"North America"
"F1418 .M373 2003","mau",2003,"0",18,"North America"
"F1418 .M72 1986","cou",1986,"0",35,"North America"
"F1418 .M92","nju",1964,"0",57,"North America"
"F1418 .P555 1992","txu",1992,"0",29,"North America"
"F1418 .R24 1999","ncu",1999,"0",22,"North America"
"F1418 .U718 1995","nbu",1995,"0",26,"North America"
"F1418 .W682 1985","txu",1985,"0",36,"North America"
"F1419 .J4 E43","ncu",1980,"0",41,"North America"
"F1419.A1 F66 2011","inu",2011,"0",10,"North America"
"F1419.A1 W33 2009","enk",2009,"0",12,"Europe"
"F1434 .R43 1993","cou",1993,"0",28,"North America"
"F1434 .S68 1986","txu",1986,"0",35,"North America"
"F1435 .A2","mx",1972,"0",49,"North America"
"F1435 .C5613 1986","txu",1986,"0",35,"North America"
"F1435 .C72 2005","enk",2005,"0",16,"Europe"
"F1435 .C79","flu",1974,"0",47,"North America"
"F1435 .E894 2012","txu",2012,"0",9,"North America"
"F1435 .G53 1995","azu",1995,"0",26,"North America"
"F1435 .H79 1988","nmu",1988,"0",33,"North America"
"F1435 .L857 1985","nmu",1985,"0",36,"North America"
"F1435 .L87","nmu",1981,"0",40,"North America"
"F1435 .M37 2003","txu",2003,"0",18,"North America"
"F1435 .M557 2004","enk",2004,"0",17,"Europe"
